time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontal,depthError,magError,magNst,status,locationSo,magSource
22-Jun-1980,33.012,-80.158,0.2,2.1,md,,115,,0.2,se,se60075,45:13.2,"0 km NNW of Lincolnville, South Carolina",earthquake,,8.5,,,reviewed,us,us
22-Jun-1980,33.015,-80.158,0.3,1.6,md,,117,,0.2,se,se60076,45:14.6,"0 km NNW of Lincolnville, South Carolina",earthquake,,9.9,,,reviewed,us,us
1-Jul-1980,33.391,-80.66,2.1,1.6,md,,,,0.2,se,se60078,45:26.2,"5 km NNE of Bowman, South Carolina",earthquake,,2,,,reviewed,us,us
1-Sep-1980,32.973,-80.193,7.2,2.9,md,,,,,se,se60089,46:31.0,"3 km SW of Centerville, South Carolina",earthquake,,0.6,,,reviewed,us,us
21-Feb-1981,33.615,-81.178,1.2,2,md,,,,0,se,se60108,47:19.7,"7 km W of North, South Carolina",earthquake,,0.3,,,reviewed,us,us
19-Mar-1981,32.968,-80.183,5.4,2.3,md,,,,0.2,se,se60110,47:22.1,"3 km SSW of Centerville, South Carolina",earthquake,,1.1,,,reviewed,us,us
26-Mar-1981,32.975,-80.226,7.8,1.4,md,,,,0.2,se,se60112,47:24.6,"5 km WSW of Centerville, South Carolina",earthquake,,2,,,reviewed,us,us
3-May-1981,32.984,-80.229,14.9,1,md,,,,0.1,se,se60120,47:34.4,"5 km WSW of Centerville, South Carolina",earthquake,,4.1,,,reviewed,us,us
19-May-1981,35.174,-82.127,5.6,2.3,md,,,,0.6,se,se60124,47:43.7,North Carolina,earthquake,,,,,reviewed,us,us
8-Jun-1981,32.921,-80.148,4.3,1.2,md,,,,0.2,se,se60126,47:46.1,"8 km SSW of Ladson, South Carolina",earthquake,,,,,reviewed,us,us
15-Jan-1982,32.9,-80.096,3.5,1.7,md,,,,0.2,se,se60146,48:52.9,"7 km WSW of Hanahan, South Carolina",earthquake,,4.7,,,reviewed,us,us
28-Jan-1982,32.988,-81.38,1.4,2.4,md,,,,0.2,se,se60148,49:00.0,"7 km WSW of Allendale, South Carolina",earthquake,,1.6,,,reviewed,us,nm
1-Feb-1982,32.929,-80.154,1,2,md,,,,0.4,se,se60151,49:04.2,"7 km SSW of Ladson, South Carolina",earthquake,,2.9,,,reviewed,us,us
1-Mar-1982,32.935,-80.143,6.1,2.8,md,,,,0.2,se,se60157,49:14.5,"6 km SSW of Ladson, South Carolina",earthquake,,2.6,,,reviewed,us,us
2-Mar-1982,34.318,-81.376,5,2.5,mblg,,,,0.6,us,usp0001jxq,30:56.1,"6 km NE of Pomaria, South Carolina",earthquake,,,,,reviewed,us,us
13-Apr-1982,34.291,-81.381,5,2.7,mblg,,,,0.4,us,usp0001kpm,31:08.2,"4 km NE of Pomaria, South Carolina",earthquake,,,,,reviewed,us,us
16-Jul-1982,34.317,-81.545,1.9,2.3,md,,,,,se,se60179,50:28.2,"8 km NE of Newberry, South Carolina",earthquake,,,,,reviewed,co,co
13-Aug-1982,34.319,-81.539,2.2,1.6,md,,,,,se,se60181,50:39.8,"8 km NE of Newberry, South Carolina",earthquake,,,,,reviewed,co,co
22-Mar-1983,32.936,-80.155,3.8,2.1,md,,,,0.1,se,se60264,53:44.9,South Carolina,earthquake,,1.4,,,reviewed,us,us
28-Apr-1983,34.322,-81.522,1.9,2,md,,,,,se,se60271,53:58.5,"10 km ENE of Newberry, South Carolina",earthquake,,,,,reviewed,co,nm
28-Apr-1983,34.34,-81.531,1.8,2.3,md,,,,,se,se60272,53:59.7,"10 km NE of Newberry, South Carolina",earthquake,,,,,reviewed,co,nm
26-Jun-1983,32.934,-80.149,1.5,2,md,,,,0.3,se,se60282,42:31.0,"6 km SSW of Ladson, South Carolina",earthquake,,1,,,reviewed,us,us
6-Nov-1983,32.937,-80.17,7.5,3.3,md,,,,0.1,se,se60318,55:56.6,"6 km S of Centerville, South Carolina",earthquake,,1.4,,,reviewed,us,us
6-Nov-1983,32.936,-80.176,6,2.1,md,,,,0.1,se,se60319,55:58.4,"6 km S of Centerville, South Carolina",earthquake,,1.9,,,reviewed,us,us
7-Nov-1983,32.938,-80.175,7.8,1.6,md,,,,0,se,se60320,55:59.9,"6 km S of Centerville, South Carolina",earthquake,,0.6,,,reviewed,us,us
2-Sep-1984,32.932,-80.202,8.2,0.8,md,,,,0.2,se,se60383,58:43.3,"7 km SSW of Centerville, South Carolina",earthquake,,2.8,,,reviewed,us,us
19-May-1985,33.016,-80.16,3.7,1.6,md,,,,0.1,se,se60440,00:58.6,"1 km NNW of Lincolnville, South Carolina",earthquake,,1.9,,,reviewed,us,us
9-Jun-1985,33.223,-81.696,1,2.7,mb_lg,,122,0.07195,0.1,se,se60441,01:03.9,"14 km SE of Jackson, South Carolina",earthquake,,1.6,,,reviewed,co,us
7-Nov-1985,33.629,-80.7,0.8,1.9,md,,186,0.24282,0.2,se,se60463,01:34.6,"8 km N of Cameron, South Carolina",earthquake,,99.9,,,reviewed,co,co
6-Feb-1986,33.902,-81.065,0.6,1.7,md,,232,0.32376,0.1,se,se60489,42:34.4,"3 km ESE of Pineridge, South Carolina",earthquake,,99.9,,,reviewed,co,co
13-Feb-1986,34.81,-82.94,3.7,3,md,,,,,se,se602753,20:23.6,"9 km SSE of Salem, South Carolina",earthquake,,,,,reviewed,se,se
9-Mar-1986,32.981,-80.171,2.3,2.2,md,,,,0.1,se,se60496,03:23.9,"1 km S of Centerville, South Carolina",earthquake,,3,,,reviewed,us,us
8-May-1986,33.003,-80.181,5.1,1.4,md,,,,0.2,se,se60509,04:18.6,"1 km NW of Centerville, South Carolina",earthquake,,5.8,,,reviewed,us,us
13-Jun-1986,32.995,-80.19,8.9,1.1,md,,,,0.1,se,se60518,04:41.1,"1 km W of Centerville, South Carolina",earthquake,,3.7,,,reviewed,us,us
22-Jul-1986,32.931,-80.168,5.8,1.3,md,,99,0.03597,0.2,se,se60530,05:29.6,"7 km S of Centerville, South Carolina",earthquake,,2.4,,,reviewed,us,us
1-Aug-1986,34.354,-81.534,7.4,2.5,md,,322,0.16188,0.1,se,se60532,05:41.6,"11 km NE of Newberry, South Carolina",earthquake,,2.8,,,reviewed,co,co
17-Aug-1986,32.924,-80.179,9.4,1.7,md,,,,0.2,se,se60536,05:51.3,"7 km S of Centerville, South Carolina",earthquake,,1.2,,,reviewed,us,us
17-Sep-1986,32.932,-80.153,6.1,2.6,md,,,,0.1,se,se60543,06:02.4,"7 km SW of Ladson, South Carolina",earthquake,,1,,,reviewed,us,us
18-Oct-1986,34.954,-81.195,0.8,2.7,md,,77,0.57557,0.1,se,se60547,06:07.6,"6 km SE of York, South Carolina",earthquake,,0.7,,,reviewed,co,co
1-Nov-1986,35.001,-82.159,4,2.2,md,,77,0.27879,0.3,se,se60549,06:09.9,"6 km NNW of Lyman, South Carolina",earthquake,,1.4,,,reviewed,nm,nm
10-Mar-1987,34.542,-80.952,0.9,2.1,md,,237,0.1349,0.1,se,se60590,07:58.5,"5 km SW of Great Falls, South Carolina",earthquake,,28.4,,,reviewed,co,co
16-Mar-1987,34.56,-80.948,3,3.1,md,,132,0.14389,0.1,se,se60594,08:21.9,"4 km WSW of Great Falls, South Carolina",earthquake,,3,,,reviewed,co,co
17-Mar-1987,34.56,-80.962,2.5,1.2,md,,142,0.08993,0.1,se,se60595,08:28.2,"5 km WSW of Great Falls, South Carolina",earthquake,,1.4,,,reviewed,co,co
25-Apr-1987,34.311,-81.541,2,2.6,md,,180,0.17087,0.1,se,se60614,09:39.4,"8 km ENE of Newberry, South Carolina",earthquake,,5.7,,,reviewed,co,co
25-Apr-1987,34.312,-81.541,5.5,1,md,,317,0.17087,0.1,se,se60615,09:40.8,"8 km ENE of Newberry, South Carolina",earthquake,,5.8,,,reviewed,co,co
26-Apr-1987,34.321,-81.539,1.8,1.8,md,,318,0.17087,0.1,se,se60616,09:42.4,,earthquake,,7.6,,,reviewed,co,co
28-Apr-1987,34.301,-81.541,1.9,1.3,md,,316,0.17087,0.1,se,se60619,09:49.4,"7 km ENE of Newberry, South Carolina",earthquake,,34.6,,,reviewed,co,co
6-Oct-1987,32.944,-80.167,1.7,1.5,md,,,0.04497,0.1,se,se60676,13:05.7,"5 km S of Centerville, South Carolina",earthquake,,,,,reviewed,us,us
12-Dec-1987,34.244,-82.628,5,3,mblg,,,,0.5,us,usp0003b77,41:22.9,"4 km NNE of Lowndesville, South Carolina",earthquake,,,,,reviewed,us,us
23-Jan-1988,32.935,-80.157,7.4,3.3,md,,,0.04497,0.2,se,se60736,15:42.3,"6 km S of Centerville, South Carolina",earthquake,,0.9,,,reviewed,us,us
23-Jan-1988,32.931,-80.16,5.2,1.6,md,,,0.03597,0.2,se,se60737,15:47.9,"7 km S of Centerville, South Carolina",earthquake,,1.8,,,reviewed,us,us
17-Feb-1988,33.547,-81.696,5.9,2.5,mb_lg,,,0.20684,0.3,se,se60751,16:22.9,"2 km SE of Aiken, South Carolina",earthquake,,3.4,,,reviewed,us,us
30-Apr-1988,33.006,-80.146,0.9,1.6,md,,,0.07195,0.3,se,se60775,17:16.8,"0 km E of Lincolnville, South Carolina",earthquake,,1.9,,,reviewed,us,us
21-May-1988,34.294,-82.357,14.2,2.2,md,,282,0.98026,0.2,se,se60784,17:52.5,"5 km SSE of Due West, South Carolina",earthquake,,7.7,,,reviewed,nm,nm
30-May-1988,32.918,-80.221,9.7,1.3,md,,,0.02698,0.1,se,se60790,18:00.2,"9 km SSW of Centerville, South Carolina",earthquake,,1.5,,,reviewed,us,us
9-Jun-1988,34.354,-81.51,1,2.2,md,,345,0.21584,0.2,se,se60792,18:03.5,"12 km NW of Pomaria, South Carolina",earthquake,,,,,reviewed,co,co
15-Jun-1988,34.63,-82.529,1.4,1.4,md,,262,0.67449,0.1,se,se60798,18:12.1,,earthquake,,3.1,,,reviewed,nm,nm
23-Jun-1988,32.973,-80.3,6.2,2,md,,,0.04497,0.3,se,se60803,18:21.7,"12 km WSW of Centerville, South Carolina",earthquake,,5.8,,,reviewed,us,us
5-Aug-1988,33.216,-81.664,2.9,2.2,md,,112,0.07195,0.1,se,se60814,18:44.2,"16 km SE of Jackson, South Carolina",earthquake,,2.8,,,reviewed,co,co
